source,author,authorLabel,work,workLabel,edition,placeOfProduction,yearOfPublication,langCode
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7168893,[Toledo],2005,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7168893,[Toledo],©2005,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a4973024,"Barberà del Vallés, Barcelona",D.L. 2010,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a6504975,Barcelona (España),[2019],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a6504975,Barcelona (España),©2019,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7169320,Fresno del Río [Cantabria],"abril, 2011",http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001670089,Barcelona,[2000],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659892,Barcelona,[ca. 1910],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659794,Barcelona,1888 ,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000007364,En Amberes,1672,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659861,Madrid,1905,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000659802,Barcelona,[1891],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000479850,Barcelona,1995,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000007199,En Bruxelas,1671,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000007191,En Madrid,1647,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5522405,Barcel[ona],1704,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659926,Madrid,1917,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a4676791,Barcelona,2009,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mima0000029027,En Leon de Francia,1736,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5158581,Madrid,D.L. 2005,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659679,Leipzig,1860,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5368543,Barcelona,2013,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0002012914,Zaragoza,[2005],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0001369889,[Barcelona],[1999],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0002299098,[Pontevedra,2006],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000184688,Madrid,D.L. 1985-,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001655891,[Barcelona],[2000],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000064467,Barcelona,D.L. 1989,http://id.loc.gov/vocabulary/languages/spa
